Original_Layer_Name,New_Layer_Name,CQL_FILTER
BURNPLAN21,burnplan21,
CATCHMENTS_BASIN100,basin100,
CATCHMENTS_BIOLINK500,biolink500,
CATCHMENTS_CMA100,cma100,
CATCHMENTS_COASTAL_ACID_SULPHATE_SOILS,coastal_acid_sulphate_soils,
CATCHMENTS_FLAGSHIP500,flagship500,
CATCHMENTS_GMU250,gmu250,
CATCHMENTS_LSYS100,lsys100,lscode !=  ' '
CATCHMENTS_LANDUSE_2014,landuse_2014,
CATCHMENTS_LSYS250,lsys250,
CROWNLAND_APIARY,apiary,
CROWNLAND_HUNT25_CLOSED,hunt25_closed,
CROWNLAND_PARKRES,parkres,
CROWNLAND_PLM25,plm25,
CROWNLAND_PLM25_ALPINE_RESORT,plm25,mmgt_ongen='ALPINE RESORT'
CROWNLAND_PLM25_CMNWTH_LAND,plm25,mmgt_ongen='COMMONWEALTH LAND'
CROWNLAND_PLM25_COASTAL_RES,plm25,"mmgt_ongen in ('COASTAL RESERVE','COASTAL WATERS')"
CROWNLAND_PLM25_COMM_USE_AREA,plm25,mmgt_ongen='COMMUNITY USE AREA'
CROWNLAND_PLM25_EARTH_RESOURCES,plm25,mmgt_ongen='EARTH RESOURCES'
CROWNLAND_PLM25_FOREST_PARK,plm25,mmgt_ongen='FOREST PARK'
CROWNLAND_PLM25_H_A_C_FEAT_RES,plm25,mmgt_ongen='HISTORIC AND CULTURAL FEATURES RESERVE'
CROWNLAND_PLM25_MARINE_NP,plm25,mmgt_ongen='MARINE NATIONAL PARK'
CROWNLAND_PLM25_MARINE_SANC,plm25,mmgt_ongen='MARINE SANCTUARY'
CROWNLAND_PLM25_NAT_CATCH,plm25,mmgt_ongen='ESSENTIALLY NATURAL CATCHMENT'
CROWNLAND_PLM25_NATIONAL_P,plm25,mmgt_ongen='NATIONAL PARK'
CROWNLAND_PLM25_NATURAL_FEAT,plm25,"mmgt_ongen in ('NATURAL FEATURES RESERVE','SCENIC RESERVE')"
CROWNLAND_PLM25_NATURE_CONSERV,plm25,mmgt_ongen='NATURE CONSERVATION RESERVE'
CROWNLAND_PLM25_NPA_SHED_3,plm25,mmgt_ongen='NPA SCHEDULE 3 OTHER PARK'
CROWNLAND_PLM25_NPA_SHED_4,plm25,mmgt_ongen='NPA SCHEDULE 4 PARK OR RESERVE'
CROWNLAND_PLM25_OTHER,plm25,"mmgt_ongen in ('OTHER (NON SCHEDULED)','LIGHTHOUSE RESERVE','PV MANAGED LAND','PHILLIP ISLAND NATURE PARK')"
